,Unnamed: 0,URL,URL_FIRST_PART,URL_LAST_PART,PREDICATE,OBJECT,WORDS,ENTITIES,REPLACED_WORD
162,162,http://fraunhofer.de/data/Renewable_hydrogen,http://fraunhofer.de/data,Renewable_hydrogen,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/Manufacturer,Renewable hydrogen,[],Hydrogen
163,163,http://fraunhofer.de/data/European_Clean_Hydrogen_Alliance,http://fraunhofer.de/data,European_Clean_Hydrogen_Alliance,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/Supplier,European Clean Hydrogen Alliance,"[('European Clean Hydrogen Alliance', 'ORG')]",European_Clean_Hydrogen_Alliance
164,164,http://fraunhofer.de/data/hydrogen_technology,http://fraunhofer.de/data,hydrogen_technology,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/neunsinger/ontologies/2022/2.0/HydrogenOntology#HydrogenProduct,hydrogen technology,[],Technology
165,165,http://fraunhofer.de/data/hydrogen_fuel_cell,http://fraunhofer.de/data,hydrogen_fuel_cell,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/inProduction,hydrogen fuel cell,[],Fuel_Cell
166,166,http://fraunhofer.de/data/Hydrogen_Peroxide,http://fraunhofer.de/data,Hydrogen_Peroxide,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/Supplier,Hydrogen Peroxide,[],Hydrogen
167,167,http://fraunhofer.de/data/zero-carbon_hydrogen,http://fraunhofer.de/data,zero_carbon_hydrogen,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/neunsinger/ontologies/2022/2.0/HydrogenOntology#Car,zero carbon hydrogen,"[('zero', 'CARDINAL')]",Hydrogen
168,168,http://fraunhofer.de/data/hydrogen_trains,http://fraunhofer.de/data,hydrogen_trains,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/inTesting,hydrogen trains,[],Train
169,169,http://fraunhofer.de/data/hydrogen_projects,http://fraunhofer.de/data,hydrogen_projects,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://fraunhofer.de/MarketActivities/Supplier,hydrogen projects,[],Hydrogen
170,170,http://fraunhofer.de/data/hydrogen_fuel_cell,http://fraunhofer.de/data,hydrogen_fuel_cell,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/neunsinger/ontologies/2022/2.0/HydrogenOntology#Reconversion,hydrogen fuel cell,[],Fuel_Cell
171,171,http://fraunhofer.de/data/Hydrogen_fuel_cells,http://fraunhofer.de/data,Hydrogen_fuel_cells,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.semanticweb.org/neunsinger/ontologies/2022/2.0/HydrogenOntology#Product,Hydrogen fuel cells,[],Fuel_Cell
